FC1,v,h,al,be,phi,th,psi,p,q,r
dv,-7.53E-03,1.00E-05,1.91E+01,0.00E+00,0.00E+00,-3.21E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dh,0.00E+00,0.00E+00,-6.34E+02,0.00E+00,0.00E+00,6.34E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dal,-1.80E-04,1.60E-06,-9.87E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.90E-01,0.00E+00
dbe,0.00E+00,0.00E+00,0.00E+00,-2.39E-01,5.06E-02,0.00E+00,0.00E+00,6.46E-03,0.00E+00,-9.99E-01
dphi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
dth,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
dpsi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
dp,0.00E+00,0.00E+00,0.00E+00,-2.44E+01,0.00E+00,0.00E+00,0.00E+00,-5.86E+00,-3.39E-02,8.38E-01
dq,-2.96E-04,-6.08E-07,-6.30E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-03,-7.13E-01,1.00E-01
dr,0.00E+00,0.00E+00,0.00E+00,6.14E+00,0.00E+00,0.00E+00,0.00E+00,-1.28E-01,-9.45E-02,-6.67E-01
