FC6,del eLC,del eRC,del ALC,del ARC,del RC
dv,-3.58E+00,-3.67E+00,5.08E-01,-1.42E+00,6.51E+00
dh,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dal,-7.21E-02,-7.21E-02,-1.59E-03,-1.17E-02,0.00E+00
dbe,-3.48E-03,3.43E-03,-4.98E-03,6.78E-04,2.02E-02
dphi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dth,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dpsi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dp,4.49E+01,-5.98E+01,3.91E+00,-6.86E+00,1.41E+01
dq,-1.33E+01,-1.65E+01,-4.66E-01,1.48E+00,4.65E-01
dr,2.54E+00,-2.97E+00,3.89E-02,-5.61E-01,-3.66E+00
