FC6,del eC,del AC,del RC
del eLC,2.62,0.442,0.485
del eRC,1.306,-0.393,0.0365
del ALC,-0.976,0.32,-11.5
del ARC,8.46,-0.272,-0.846
del RC,-0.126,0.097,1.3
