FC3,v,h,al,be,phi,th,psi,p,q,r
dv,-2.4068E-02,-3.1396E-05,5.0943E-01,1.2694E+01,-2.7833E-01,-3.2112E+01,0.0000E+00,1.3543E-02,-1.3767E-03,-6.8769E-02
dh,0.0000E+00,0.0000E+00,-9.332E+02,0.0000E+00,8.0886E+00,9.3320E+02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
dal,-7.3947E-05,1.1175E-06,-8.0388E-01,8.0292E-02,0.0000E+00,0.0000E+00,0.0000E+00,8.1353E-03,9.9209E-01,-7.4879E-05
dbe,1.0635E-05,4.0219E-08,-9.1789E-02,-3.4593E-01,3.4381E-02,-2.9849E-04,0.0000E+00,3.8537E-02,1.7006E-04,-9.9070E-01
dphi,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0000E+00,0.0000E+00,0.0000E+00
dth,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0000E+00,0.0000E+00
dpsi,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0000E+00
dp,-1.9511E-03,4.4807E-05,1.3318E+01,-8.4826E+01,0.0000E+00,0.0000E+00,0.0000E+00,-2.4565E+00,1.4708E+00,2.3459E+00
dq,-7.9564E-04,-1.2731E-05,-1.7104E+01,1.2468E-01,0.0000E+00,0.0000E+00,0.0000E+00,1.4226E-01,-1.2694E+00,1.9855E-01
dr,-7.1016E-04,-1.0531E-06,-2.0223E+00,1.2953E+01,0.0000E+00,0.0000E+00,0.0000E+00,3.5635E-02,-5.0017E-03,-9.2424E-01
