FC6,v,h,al,be,phi,th,psi,p,q,r
dv,-1.5288E-02,1.8476E-04,-1.9503E+01,1.3179E+01,-2.9294E-01,-3.2080E+01,0.0000E+00,1.3999E-02,-5.5942E-04,-6.9607E-02
dh,0.0000E+00,0.0000E+00,-1.3927E+03,0.0000E+00,1.2718E+01,1.3927E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
dal,-2.1382E-05,8.7575E-07,-5.6285E-01,6.6539E-02,0.0000E+00,0.0000E+00,0.0000E+00,8.8719E-03,9.9509E-01,1.6842E-05
dbe,6.2741E-06,3.9743E-08,-7.0535E-02,-4.2091E-01,2.3013E-02,-2.1052E-04,0.0000E+00,4.0855E-02,4.3946E-05,-9.9365E-01
dphi,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0000E+00,0.0000E+00,0.0000E+00
dth,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0000E+00,0.0000E+00
dpsi,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0000E+00
dp,4.1348E-03,5.4499E-05,4.4889E+01,-1.9057E+02,0.0000E+00,0.0000E+00,0.0000E+00,-1.7391E+00,3.0771E-01,2.6033E+00
dq,2.1731E-03,6.0607E-06,-2.2103E+01,3.8057E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.8938E-02,-1.2187E+00,2.4095E-01
dr,-7.8374E-04,-3.7871E-06,-7.5461E+00,1.8778E+01,0.0000E+00,0.0000E+00,0.0000E+00,7.0071E-02,-6.8218E-02,-9.6575E-01
