FC3,del eLC,del eRC,del ALC,del ARC,del RC
dv,-1.87E+00,-2.19E+00,-3.28E-01,-1.34E+00,4.45E+00
dh,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dal,-1.12E-01,-1.12E-01,-1.60E-02,-2.20E-02,0.00E+00
dbe,-1.98E-02,1.97E-02,3.46E-05,-8.22E-04,5.74E-02
dphi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dth,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dpsi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dp,1.99E+01,-3.37E+01,1.44E+01,-1.04E+01,1.89E+01
dq,-1.24E+01,-1.44E+01,-1.25E+00,9.20E-01,7.49E-01
dr,2.89E+00,-3.29E+00,4.61E-01,-2.95E-01,-7.10E+00
