FC6,v,h,al,be,phi,th,psi,p,q,r,del eLC,del eRC,del ALC,del ARC,del RC
del eLC,1.2043E-03,3.5302E-06,-4.9738E-01,2.3281E+00,-3.3838E-02,2.3930E-01,0.0000E+00,-1.1521E-01,-3.9166E-02,-1.7849E-01,-3.2314E-01,7.7788E-01,-5.6376E-03,8.6686E-03,-6.8332E-02
del eRC,1.4922E-04,1.6191E-06,5.0179E-01,-1.8009E+00,-1.2139E-02,6.5116E-02,0.0000E+00,3.4695E-02,-6.5762E-03,6.1213E-02,1.4678E-01,-1.7869E-01,6.4177E-02,-4.3204E-02,2.7929E-01
del ALC,5.5101E-03,-4.3752E-06,9.1435E-01,-2.0149E+00,6.6593E-01,-4.7519E+00,0.0000E+00,8.4993E-01,-1.7031E-01,6.5872E-01,3.3096E+00,-2.9226E+00,-1.5902E-01,-2.9615E-01,-1.2051E+00
del ARC,8.5448E-03,1.5320E-05,2.5780E+00,-1.4721E+00,1.4309E-03,-3.5777E-02,0.0000E+00,-4.7939E-03,-1.4595E-01,-2.3028E-01,1.8835E-01,5.8056E-01,8.3421E-02,-4.2276E-02,2.1986E-01
del RC,-4.1058E-04,7.6467E-07,-8.5046E-01,8.9537E-01,-4.6597E-02,3.3938E-01,0.0000E+00,-8.9257E-02,-4.6243E-02,-9.2840E-02,-3.6111E-01,4.1073E-01,4.9318E-02,2.1704E-02,7.4055E-01
